,index,stop_id,district_id,name,address,latitude,longitude,neighborhood,district
498,503,900093151,11012012,Dohnensteig (Berlin),"Dohnensteig, 13467 Berlin, Germany",52.605297,13.291486,Hermsdorf,Reinickendorf
499,504,900192501,11009009,Doku.-zentrum NS-Zwangsarbeit (Berlin),"Doku.-zentrum NS-Zwangsarbeit, 12439 Berlin, Germany",52.45328,13.518005,Niederschöneweide,Treptow-Köpenick
500,505,900130513,11003003,Dolomitenstr. (Berlin),"Maximilianstraße 35, 13187 Berlin, Germany",52.561232,13.405622,Niederschönhausen,Pankow
501,506,900051205,11004004,Domäne Dahlem (Berlin),"Domäne Dahlem, 14195 Berlin, Germany",52.458781,13.287099,Grunewald,Charlottenburg-Wilmersdorf
502,507,900054107,11007007,Dominicusstr./Hauptstr. (Berlin),"Dominicusstraße 44A, 10827 Berlin, Germany",52.481794,13.348379,Friedenau,Tempelhof-Schöneberg
503,508,900092256,11012012,Dominikus-Krankenhaus (Berlin),"Falkentaler Steig 106, 13465 Berlin, Germany",52.626215,13.294812,Frohnau,Reinickendorf
504,509,900058152,11007007,Domnauer Str. (Berlin),"Domnauer Str., 12105 Berlin, Germany",52.45586,13.364443,Mariendorf,Tempelhof-Schöneberg
505,510,900162717,11011011,Dönhoffstr. (Berlin),"Berlin, Dönhoffstraße, 10318 Berlin, Germany",52.483664,13.521907,Karlshorst,Lichtenberg
506,511,900176511,11010010,Donizettistr. (Berlin),"Donizettistraße 62B, 12623 Berlin, Germany",52.511962,13.624051,Kaulsdorf,Marzahn-Hellersdorf
507,512,900176502,11010010,Donizettistr./Lemkestr. (Berlin),"Donizettistraße 36a, 12623 Berlin, Germany",52.512204,13.619467,Kaulsdorf,Marzahn-Hellersdorf
508,513,900176503,11010010,Donizettistr./Straußstr. (Berlin),"Donizettistr./Straußstr., 12623 Berlin, Germany",52.511548,13.627899,Kaulsdorf,Marzahn-Hellersdorf
509,514,900092203,11012012,Donnersmarckplatz (Berlin),"Alemannenstraße 25, 13465 Berlin, Germany",52.630134,13.280429,Frohnau,Reinickendorf
510,515,900091161,11012012,Dorfaue Heiligensee (Berlin),"Dorfaue Heiligensee, 13503 Berlin, Germany",52.606312,13.210206,Heiligensee,Reinickendorf
511,516,900152005,11011011,Dorfstr./Lindenberger Str. (Berlin),"Lindenberger Str. 2-8, 13059 Berlin, Germany",52.574886,13.518149,Neu-Hohenschönhausen,Lichtenberg
512,517,900100561,11001001,Dorotheenstr./Friedrichstr. (Berlin),"Berlin, Dorotheenstr./Friedrichstr., 10117 Berlin, Germany",52.518605,13.387365,Tiergarten,Mitte
513,518,900022203,11004004,Dovebrücke (Berlin),"Einsteinufer 69, 10587 Berlin, Germany",52.518434,13.32027,Charlottenburg,Charlottenburg-Wilmersdorf
514,519,900066150,11006006,Drakestr./Gardeschützenweg (Berlin),"Drakestraße 31A, 12205 Berlin, Germany",52.442349,13.297374,Dahlem,Steglitz-Zehlendorf
